Count_point_id,N_year,Year_start,Year_end,Max_year_gap
222,1064,22,2000,2021,1
223,1065,22,2000,2021,1
224,1066,22,2000,2021,1
225,1067,22,2000,2021,1
226,1068,22,2000,2021,1
227,1069,22,2000,2021,1
228,1071,20,2000,2019,1
229,1072,22,2000,2021,1
230,1074,22,2000,2021,1
231,1075,22,2000,2021,1
232,1076,22,2000,2021,1
233,1077,22,2000,2021,1
234,1078,22,2000,2021,1
235,1079,22,2000,2021,1
236,1082,19,2000,2018,1
237,1084,22,2000,2021,1
238,1085,5,2000,2004,1
239,1086,22,2000,2021,1
240,1088,22,2000,2021,1
241,1089,22,2000,2021,1
242,1090,22,2000,2021,1
243,1091,22,2000,2021,1
244,1092,22,2000,2021,1
245,1093,22,2000,2021,1
246,1094,22,2000,2021,1
247,1095,19,2000,2018,1
248,1097,21,2000,2020,1
249,1098,22,2000,2021,1
250,1099,22,2000,2021,1
251,1100,22,2000,2021,1
252,1101,20,2000,2019,1
253,1102,22,2000,2021,1
254,1103,22,2000,2021,1
255,1104,22,2000,2021,1
256,1106,22,2000,2021,1
257,1108,22,2000,2021,1
258,1109,20,2000,2019,1
259,1110,22,2000,2021,1
260,1111,22,2000,2021,1
261,1112,12,2000,2011,1
262,1113,22,2000,2021,1
263,1114,20,2000,2019,1
264,1115,22,2000,2021,1
265,1116,22,2000,2021,1
266,1117,22,2000,2021,1
267,1118,22,2000,2021,1
268,1119,22,2000,2021,1
269,1120,22,2000,2021,1
270,1121,22,2000,2021,1
271,1122,22,2000,2021,1
272,1124,22,2000,2021,1
273,1125,22,2000,2021,1
274,1128,22,2000,2021,1
275,1129,22,2000,2021,1
276,1130,22,2000,2021,1
277,1131,22,2000,2021,1
278,1132,22,2000,2021,1
279,1133,22,2000,2021,1
280,1134,16,2000,2015,1
281,1135,5,2000,2004,1
282,1136,22,2000,2021,1
283,1138,22,2000,2021,1
284,1139,22,2000,2021,1
285,1140,22,2000,2021,1
286,1141,22,2000,2021,1
287,1142,22,2000,2021,1
288,1143,22,2000,2021,1
289,1144,22,2000,2021,1
290,1145,22,2000,2021,1
291,1146,22,2000,2021,1
292,1147,22,2000,2021,1
293,1148,22,2000,2021,1
294,1149,22,2000,2021,1
295,1150,22,2000,2021,1
296,1151,22,2000,2021,1
297,1152,22,2000,2021,1
298,1153,22,2000,2021,1
299,1154,22,2000,2021,1
300,1157,22,2000,2021,1
301,1159,22,2000,2021,1
302,1160,22,2000,2021,1
303,1161,22,2000,2021,1
304,1162,22,2000,2021,1
305,1163,22,2000,2021,1
306,1164,22,2000,2021,1
307,1166,22,2000,2021,1
308,1167,22,2000,2021,1
309,1168,22,2000,2021,1
310,1169,22,2000,2021,1
311,1170,22,2000,2021,1
312,1171,22,2000,2021,1
313,1172,22,2000,2021,1
314,1173,22,2000,2021,1
315,1174,22,2000,2021,1
316,1175,22,2000,2021,1
317,1176,22,2000,2021,1
318,1177,22,2000,2021,1
319,1178,19,2000,2018,1
320,1179,14,2000,2013,1
321,1180,22,2000,2021,1
322,1181,22,2000,2021,1
323,1182,22,2000,2021,1
324,1184,22,2000,2021,1
325,1185,22,2000,2021,1
326,1187,22,2000,2021,1
327,1188,22,2000,2021,1
328,1189,22,2000,2021,1
329,1190,22,2000,2021,1
330,1191,22,2000,2021,1
331,1192,22,2000,2021,1
332,1194,22,2000,2021,1
333,1197,20,2000,2019,1
334,1198,22,2000,2021,1
335,1199,22,2000,2021,1
